c0;c1;c2;c3;c4;c5;c6;c7;c8;c9;c10;c11;c12;c13;c14;c15;c16;c17;c18;c19
440, DATE '2003-08-01', 1.640000, DATE '2003-10-01'
441, DATE '2003-09-01', 1.340000, DATE '2003-11-01'
442, DATE '2003-10-01', 1.370000, DATE '2003-12-01'
443, DATE '2003-11-01', 1.270000, DATE '2004-01-01'
444, DATE '2003-12-01', 1.080000, DATE '2004-02-01'
445, DATE '2004-01-01', 1.380000, DATE '2004-03-01'
446, DATE '2004-02-01', 1.180000, DATE '2004-04-01'
447, DATE '2004-03-01', 1.230000, DATE '2004-05-01'
448, DATE '2004-04-01', 1.230000, DATE '2004-06-01'
449, DATE '2004-05-01', 1.290000, DATE '2004-07-01'
450, DATE '2004-06-01', 1.290000, DATE '2004-08-01'
451, DATE '2004-07-01', 1.250000, DATE '2004-09-01'
452, DATE '2004-08-01', 1.210000, DATE '2004-10-01'
453, DATE '2004-09-01', 1.250000, DATE '2004-11-01'
454, DATE '2004-10-01', 1.480000, DATE '2004-12-01'
455, DATE '2004-11-01', 1.380000, DATE '2005-01-01'
456, DATE '2004-12-01', 1.220000, DATE '2005-02-01'
457, DATE '2005-01-01', 1.530000, DATE '2005-03-01'
458, DATE '2005-02-01', 1.410000, DATE '2005-04-01'
459, DATE '2005-03-01', 1.500000, DATE '2005-05-01'
460, DATE '2005-04-01', 1.590000, DATE '2005-06-01'
461, DATE '2005-05-01', 1.510000, DATE '2005-07-01'
462, DATE '2005-06-01', 1.660000, DATE '2005-08-01'
463, DATE '2005-07-01', 1.500000, DATE '2005-09-01'
464, DATE '2005-08-01', 1.410000, DATE '2005-10-01'
465, DATE '2005-09-01', 1.380000, DATE '2005-11-01'
466, DATE '2005-10-01', 1.470000, DATE '2005-12-01'
467, DATE '2005-11-01', 1.430000, DATE '2006-01-01'
468, DATE '2005-12-01', 1.150000, DATE '2006-02-01'
469, DATE '2006-01-01', 1.420000, DATE '2006-03-01'
470, DATE '2006-02-01', 1.080000, DATE '2006-04-01'
471, DATE '2006-03-01', 1.280000, DATE '2006-05-01'
472, DATE '2006-04-01', 1.180000, DATE '2006-06-01'
100, DATE '1975-04-01', 1.000000, DATE '1975-06-01'
101, DATE '1975-05-01', 1.000000, DATE '1975-07-01'
102, DATE '1975-06-01', 1.000000, DATE '1975-08-01'
103, DATE '1975-07-01', 1.000000, DATE '1975-09-01'
104, DATE '1975-08-01', 1.000000, DATE '1975-10-01'
105, DATE '1975-09-01', 1.000000, DATE '1975-11-01'
106, DATE '1975-10-01', 1.000000, DATE '1975-12-01'
107, DATE '1975-11-01', 1.000000, DATE '1976-01-01'
108, DATE '1975-12-01', 1.000000, DATE '1976-02-01'
109, DATE '1976-01-01', 1.000000, DATE '1976-03-01'
110, DATE '1976-02-01', 1.000000, DATE '1976-04-01'
111, DATE '1976-03-01', 1.000000, DATE '1976-05-01'
112, DATE '1976-04-01', 1.000000, DATE '1976-06-01'
113, DATE '1976-05-01', 1.000000, DATE '1976-07-01'
114, DATE '1976-06-01', 1.000000, DATE '1976-08-01'
115, DATE '1976-07-01', 1.000000, DATE '1976-09-01'
116, DATE '1976-08-01', 1.000000, DATE '1976-10-01'
117, DATE '1976-09-01', 1.000000, DATE '1976-11-01'
118, DATE '1976-10-01', 1.000000, DATE '1976-12-01'
119, DATE '1976-11-01', 1.000000, DATE '1977-01-01'
120, DATE '1976-12-01', 1.000000, DATE '1977-02-01'
121, DATE '1977-01-01', 1.000000, DATE '1977-03-01'
122, DATE '1977-02-01', 1.000000, DATE '1977-04-01'
123, DATE '1977-03-01', 1.000000, DATE '1977-05-01'
124, DATE '1977-04-01', 1.000000, DATE '1977-06-01'
125, DATE '1977-05-01', 1.000000, DATE '1977-07-01'
126, DATE '1977-06-01', 1.000000, DATE '1977-08-01'
127, DATE '1977-07-01', 1.000000, DATE '1977-09-01'
128, DATE '1977-08-01', 1.000000, DATE '1977-10-01'
129, DATE '1977-09-01', 1.000000, DATE '1977-11-01'
130, DATE '1977-10-01', 1.000000, DATE '1977-12-01'
131, DATE '1977-11-01', 1.000000, DATE '1978-01-01'
132, DATE '1977-12-01', 1.000000, DATE '1978-02-01'
133, DATE '1978-01-01', 1.000000, DATE '1978-03-01'
134, DATE '1978-02-01', 1.000000, DATE '1978-04-01'
135, DATE '1978-03-01', 1.000000, DATE '1978-05-01'
136, DATE '1978-04-01', 1.000000, DATE '1978-06-01'
137, DATE '1978-05-01', 1.000000, DATE '1978-07-01'
138, DATE '1978-06-01', 1.000000, DATE '1978-08-01'
139, DATE '1978-07-01', 1.000000, DATE '1978-09-01'
140, DATE '1978-08-01', 1.000000, DATE '1978-10-01'
141, DATE '1978-09-01', 1.000000, DATE '1978-11-01'
142, DATE '1978-10-01', 1.000000, DATE '1978-12-01'
143, DATE '1978-11-01', 1.000000, DATE '1979-01-01'
144, DATE '1978-12-01', 1.000000, DATE '1979-02-01'
145, DATE '1979-01-01', 1.000000, DATE '1979-03-01'
146, DATE '1979-02-01', 1.000000, DATE '1979-04-01'
147, DATE '1979-03-01', 1.000000, DATE '1979-05-01'
148, DATE '1979-04-01', 1.000000, DATE '1979-06-01'
149, DATE '1979-05-01', 1.000000, DATE '1979-07-01'
150, DATE '1979-06-01', 1.000000, DATE '1979-08-01'
151, DATE '1979-07-01', 1.000000, DATE '1979-09-01'
152, DATE '1979-08-01', 1.000000, DATE '1979-10-01'
153, DATE '1979-09-01', 1.000000, DATE '1979-11-01'
154, DATE '1979-10-01', 1.000000, DATE '1979-12-01'
155, DATE '1979-11-01', 1.000000, DATE '1980-01-01'
156, DATE '1979-12-01', 1.000000, DATE '1980-02-01'
157, DATE '1980-01-01', 1.000000, DATE '1980-03-01'
158, DATE '1980-02-01', 1.000000, DATE '1980-04-01'
159, DATE '1980-03-01', 1.000000, DATE '1980-05-01'
160, DATE '1980-04-01', 1.000000, DATE '1980-06-01'
161, DATE '1980-05-01', 1.000000, DATE '1980-07-01'
162, DATE '1980-06-01', 1.000000, DATE '1980-08-01'
163, DATE '1980-07-01', 1.000000, DATE '1980-09-01'
164, DATE '1980-08-01', 1.000000, DATE '1980-10-01'
165, DATE '1980-09-01', 1.000000, DATE '1980-11-01'
166, DATE '1980-10-01', 1.000000, DATE '1980-12-01'
167, DATE '1980-11-01', 1.000000, DATE '1981-01-01'
168, DATE '1980-12-01', 1.000000, DATE '1981-02-01'
169, DATE '1981-01-01', 1.000000, DATE '1981-03-01'
170, DATE '1981-02-01', 1.000000, DATE '1981-04-01'
171, DATE '1981-03-01', 1.000000, DATE '1981-05-01'
172, DATE '1981-04-01', 1.000000, DATE '1981-06-01'
173, DATE '1981-05-01', 1.000000, DATE '1981-07-01'
174, DATE '1981-06-01', 1.000000, DATE '1981-08-01'
175, DATE '1981-07-01', 1.000000, DATE '1981-09-01'
176, DATE '1981-08-01', 1.000000, DATE '1981-10-01'
177, DATE '1981-09-01', 1.000000, DATE '1981-11-01'
178, DATE '1981-10-01', 1.000000, DATE '1981-12-01'
179, DATE '1981-11-01', 1.000000, DATE '1982-01-01'
180, DATE '1981-12-01', 1.000000, DATE '1982-02-01'
181, DATE '1982-01-01', 1.000000, DATE '1982-03-01'
182, DATE '1982-02-01', 1.000000, DATE '1982-04-01'
183, DATE '1982-03-01', 1.000000, DATE '1982-05-01'
184, DATE '1982-04-01', 1.000000, DATE '1982-06-01'
185, DATE '1982-05-01', 1.000000, DATE '1982-07-01'
186, DATE '1982-06-01', 1.000000, DATE '1982-08-01'
187, DATE '1982-07-01', 1.000000, DATE '1982-09-01'
188, DATE '1982-08-01', 1.000000, DATE '1982-10-01'
189, DATE '1982-09-01', 1.000000, DATE '1982-11-01'
190, DATE '1982-10-01', 1.000000, DATE '1982-12-01'
191, DATE '1982-11-01', 1.000000, DATE '1983-01-01'
192, DATE '1982-12-01', 1.000000, DATE '1983-02-01'
193, DATE '1983-01-01', 1.000000, DATE '1983-03-01'
194, DATE '1983-02-01', 1.000000, DATE '1983-04-01'
195, DATE '1983-03-01', 1.000000, DATE '1983-05-01'
196, DATE '1983-04-01', 1.000000, DATE '1983-06-01'
197, DATE '1983-05-01', 1.000000, DATE '1983-07-01'
198, DATE '1983-06-01', 1.000000, DATE '1983-08-01'
199, DATE '1983-07-01', 1.000000, DATE '1983-09-01'
200, DATE '1983-08-01', 1.000000, DATE '1983-10-01'
201, DATE '1983-09-01', 1.000000, DATE '1983-11-01'
202, DATE '1983-10-01', 1.000000, DATE '1983-12-01'
203, DATE '1983-11-01', 1.000000, DATE '1984-01-01'
204, DATE '1983-12-01', 1.000000, DATE '1984-02-01'
205, DATE '1984-01-01', 1.000000, DATE '1984-03-01'
206, DATE '1984-02-01', 1.000000, DATE '1984-04-01'
320, DATE '1993-08-01', 1.000000, DATE '1993-10-01'
321, DATE '1993-09-01', 1.000000, DATE '1993-11-01'
322, DATE '1993-10-01', 1.000000, DATE '1993-12-01'
323, DATE '1993-11-01', 1.000000, DATE '1994-01-01'
324, DATE '1993-12-01', 1.000000, DATE '1994-02-01'
325, DATE '1994-01-01', 1.000000, DATE '1994-03-01'
326, DATE '1994-02-01', 1.000000, DATE '1994-04-01'
327, DATE '1994-03-01', 1.000000, DATE '1994-05-01'
328, DATE '1994-04-01', 1.000000, DATE '1994-06-01'
329, DATE '1994-05-01', 1.000000, DATE '1994-07-01'
330, DATE '1994-06-01', 1.000000, DATE '1994-08-01'
331, DATE '1994-07-01', 1.000000, DATE '1994-09-01'
332, DATE '1994-08-01', 1.000000, DATE '1994-10-01'
333, DATE '1994-09-01', 1.000000, DATE '1994-11-01'
334, DATE '1994-10-01', 1.000000, DATE '1994-12-01'
335, DATE '1994-11-01', 1.000000, DATE '1995-01-01'
336, DATE '1994-12-01', -36.550000, DATE '1995-02-01'
337, DATE '1995-01-01', 2.600000, DATE '1995-03-01'
338, DATE '1995-02-01', 4.260000, DATE '1995-04-01'
339, DATE '1995-03-01', 4.250000, DATE '1995-05-01'
340, DATE '1995-04-01', 4.040000, DATE '1995-06-01'
341, DATE '1995-05-01', 4.020000, DATE '1995-07-01'
342, DATE '1995-06-01', 3.840000, DATE '1995-08-01'
343, DATE '1995-07-01', 3.320000, DATE '1995-09-01'
344, DATE '1995-08-01', 3.090000, DATE '1995-10-01'
345, DATE '1995-09-01', 2.880000, DATE '1995-11-01'
346, DATE '1995-10-01', 2.780000, DATE '1995-12-01'
347, DATE '1995-11-01', 2.580000, DATE '1996-01-01'
348, DATE '1995-12-01', 2.350000, DATE '1996-02-01'
349, DATE '1996-01-01', 2.220000, DATE '1996-03-01'
350, DATE '1996-02-01', 2.070000, DATE '1996-04-01'
351, DATE '1996-03-01', 2.010000, DATE '1996-05-01'
352, DATE '1996-04-01', 1.980000, DATE '1996-06-01'
353, DATE '1996-05-01', 1.930000, DATE '1996-07-01'
354, DATE '1996-06-01', 1.970000, DATE '1996-08-01'
355, DATE '1996-07-01', 1.900000, DATE '1996-09-01'
356, DATE '1996-08-01', 1.860000, DATE '1996-10-01'
357, DATE '1996-09-01', 1.800000, DATE '1996-11-01'
358, DATE '1996-10-01', 1.800000, DATE '1996-12-01'
359, DATE '1996-11-01', 1.730000, DATE '1997-01-01'
360, DATE '1996-12-01', 1.670000, DATE '1997-02-01'
361, DATE '1997-01-01', 1.640000, DATE '1997-03-01'
362, DATE '1997-02-01', 1.660000, DATE '1997-04-01'
363, DATE '1997-03-01', 1.580000, DATE '1997-05-01'
364, DATE '1997-04-01', 1.610000, DATE '1997-06-01'
